especies,registros BHRD,Hábito,ID,SpecieName,Family,Genus,Specific.Epiteth,Seed.type,Sind,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,scientificName,id_bhrd,id_flora,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vernacular.name,occurrence,establishment,arvore_life.form,Arbusto_life.form,LVT_life.form,Subarbusto_life.form,suculenta_life.form,Terricola_habitat,Rupicola_habitat,Hemiepifita_habitat
Vismia brasiliensis,27,Arbusto|Árvore,1949,Vismia brasiliensis,Hypericaceae,Vismia,brasiliensis,orthodox,zoochoric,8,8,"1,1",3,"0,64",10,Vismia brasiliensis,sp_0171,8012,Vismia brasiliensis Choisy,NA,Hypericaceae,species,accepted,Vismia brasiliensis,NA,,Vismia brasiliensis,Arbusto|arvore,Terricola,Ruao/PORTUGUES/Minas Gerais,BR-MG|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Hyptidendron asperrimum,27,Arbusto|Árvore,845,Hyptidendron asperrimum,Lamiaceae,Hyptidendron,asperrimum,orthodox,abiotic,NA,NA,NA,NA,"0,43",12,Hyptidendron asperrimum,sp_0161,8175,Hyptidendron asperrimum (Spreng.) Harley,NA,Lamiaceae,species,accepted,Hyptidendron asperrimum,LC,,Hyptidendron asperrimum,Arbusto|arvore,Terricola,catinga-de-bode/PORTUGUES/Minas Gerais,BR-BA|BR-ES|BR-GO|BR-MG|BR-MT|BR-RJ,native,"0,5","0,5",0,0,0,1,0,0
Lacistema pubescens,27,Arbusto|Árvore,924,Lacistema pubescens,Lacistemataceae,Lacistema,pubescens,NA,zoochoric,6,NA,NA,NA,NA,15,Lacistema pubescens,sp_0162,17846,Lacistema pubescens Mart.,NA,Lacistemataceae,species,accepted,Lacistema pubescens,NA,,Lacistema pubescens,Arbusto|arvore,Terricola,NA,BR-BA|BR-MA|BR-MG|BR-PA|BR-RJ,native,"0,5","0,5",0,0,0,1,0,0
Zanthoxylum rhoifolium,26,Árvore,2002,Zanthoxylum rhoifolium,Rutaceae,Zanthoxylum,rhoifolium,orthodox,zoochoric,"3,2","4,3","2,6","2,6","0,57",12,Zanthoxylum rhoifolium,sp_0190,1162,Zanthoxylum rhoifolium Lam.,NA,Rutaceae,species,accepted,Zanthoxylum rhoifolium,NA,,Zanthoxylum rhoifolium,arvore,Terricola,carne-de-anta/PORTUGUES/Amazi´nia | espinho-de-vinti©m/PORTUGUES/Sudeste e Sul | juva/PORTUGUES/Sul | juveviª/PORTUGUES/Sul | laranjeira-brava/PORTUGUES/Nordeste | laranjinha/PORTUGUES/Nordeste | limaozinho/PORTUGUES/Nordeste | mamica-de-cadela/PORTUGUES/Sudeste e Sul | mamica-de-porca/PORTUGUES/Sudeste e Sul | pau-de-cachorro/PORTUGUES/Rio Grande do Sul | tamanqueira-de-espinho/PORTUGUES/Amazi´nia | tamanqueira-limao/PORTUGUES/Amazi´nia | tamanqueiro(a)/PORTUGUES/Sudeste e Sul | tambatarao/PORTUGUES/Sudeste e Sul | tembetaru/PORTUGUES/Sudeste e Sul | teta-de-cadela/PORTUGUES/Sudeste e Sul | tinguaciba/PORTUGUES/Sudeste e Sul,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Senegalia polyphylla,26,Arbusto|Árvore,1676,Senegalia polyphylla,Fabaceae,Senegalia,polyphylla,orthodox,abiotic,22,"100,7","1,39","9,7","0,63",20,Senegalia polyphylla,sp_0185,101015,Senegalia polyphylla (DC.) Britton & Rose,NA,Fabaceae,species,accepted,Senegalia polyphylla,NA,,Senegalia polyphylla,Arbusto|arvore,Terricola,"guarucaia/PORTUGUES/SP | monjoleiro/PORTUGUES/MG, PR, SP | parici¡-rana, parici¡-branco/PORTUGUES/PA",BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PI|BR-PR|BR-RJ|BR-SE|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Vochysia tucanorum,26,Árvore,1975,Vochysia tucanorum,Vochysiaceae,Vochysia,tucanorum,orthodox,abiotic,12,25,"5,5","22,2","0,48",20,Vochysia tucanorum,sp_0189,15322,Vochysia tucanorum Mart.,NA,Vochysiaceae,species,accepted,Vochysia tucanorum,NA,,Vochysia tucanorum,arvore,Terricola,Pau de Tucano/PORTUGUES/Sao Paulo,NA,NA,1,0,0,0,0,1,0,0
Cyathea phalerata,26,Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea phalerata,sp_0174,90894,Cyathea phalerata Mart.,NA,Cyatheaceae,species,accepted,Cyathea phalerata,NA,,Cyathea phalerata,arvore,Terricola,NA,BR-AC|BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Leandra aurea,26,Arbusto|Árvore,937,Leandra aurea,Melastomataceae,Leandra,aurea,orthodox,zoochoric,6,8,"0,4","0,8","0,82",4,Leandra aurea,sp_0179,9506,Leandra aurea (Cham.) Cogn.,NA,Melastomataceae,species,accepted,Leandra aurea,NA,,Leandra aurea,Arbusto|arvore,Terricola,quaresma/PORTUGUES/Sudeste | pexirica/PORTUGUES/Sul,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Guatteria sellowiana,26,Árvore,774,Guatteria sellowiana,Annonaceae,Guatteria,sellowiana,recalcitrant,zoochoric,"4,5","12,63","5,84","8,5",NA,12,Guatteria sellowiana,sp_0176,110453,Guatteria sellowiana Schltdl.,NA,Annonaceae,species,accepted,Guatteria sellowiana,LC,,Guatteria sellowiana,arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-RJ,native,1,0,0,0,0,1,0,0
Senefeldera verticillata,26,Árvore,1675,Senefeldera verticillata,Euphorbiaceae,Senefeldera,verticillata,orthodox,abiotic,"13,62","9,38",5,"7,5","0,79",18,Senefeldera verticillata,sp_0184,17685,Senefeldera verticillata (Vell.) Croizat,NA,Euphorbiaceae,species,accepted,Senefeldera verticillata,NA,,Senefeldera verticillata,arvore,Terricola,'osso de burro'/PORTUGUES/Sudeste/RJ | 'pau marfim'/PORTUGUES/Nordeste/BA | 'marfim verdadeiro'/PORTUGUES/Nordeste/AL | 'sucanga'/PORTUGUES/Sudeste/ES,BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Joannesia princeps,26,Árvore,912,Joannesia princeps,Euphorbiaceae,Joannesia,princeps,orthodox,zoochoric,"71,53","75,7","23,3",25,"0,4975",20,Joannesia princeps,sp_0177,17586,Joannesia princeps Vell.,NA,Euphorbiaceae,species,accepted,Joannesia princeps,LC,,Joannesia princeps,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Tabernaemontana laeta,26,Árvore,1831,Tabernaemontana laeta,Apocynaceae,Tabernaemontana,laeta,intermediate,zoochoric,NA,NA,NA,NA,NA,10,Tabernaemontana laeta,sp_0187,4864,Tabernaemontana laeta Mart.,NA,Apocynaceae,species,accepted,Tabernaemontana laeta,NA,,Tabernaemontana laeta,arvore,Terricola,NA,BR-AL|BR-BA|BR-DF|BR-ES|BR-MG|BR-PE|BR-RJ|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Posoqueria latifolia,25,Árvore,1510,Posoqueria latifolia,Rubiaceae,Posoqueria,latifolia,recalcitrant,zoochoric,33,"38,4",12,"9,9","0,58",15,Posoqueria latifolia,sp_0199,14150,Posoqueria latifolia (Rudge) Schult.,NA,Rubiaceae,species,accepted,Posoqueria latifolia,LC,,Posoqueria latifolia,arvore,Terricola,NA,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Myrsine umbellata,25,Árvore,1304,Myrsine umbellata,Primulaceae,Myrsine,umbellata,orthodox,zoochoric,"3,8","4,4","3,5","3,7","0,82",20,Myrsine umbellata,sp_0197,10242,Myrsine umbellata Mart.,NA,Primulaceae,species,accepted,Myrsine umbellata,NA,,Myrsine umbellata,arvore,Terricola,NA,BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Cabralea canjerana,25,Árvore,209,Cabralea canjerana,Meliaceae,Cabralea,canjerana,recalcitrant,zoochoric,25,28,9,10,"0,56475",30,Cabralea canjerana subsp. canjerana,sp_6259,19734,Cabralea canjerana (Vell.) Mart. subsp. canjerana,NA,Meliaceae,subspecies,accepted,Cabralea canjerana subsp. canjerana,NA,,Cabralea canjerana subsp. canjerana,arvore,Terricola,cedro bravo/PORTUGUES/Acre,BR-AC|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Croton floribundus,25,Árvore,432,Croton floribundus,Euphorbiaceae,Croton,floribundus,orthodox,abiotic,10,8,"3,3","5,4","0,575",10,Croton floribundus,sp_0193,17512,Croton floribundus Spreng.,NA,Euphorbiaceae,species,accepted,Croton floribundus,NA,,Croton floribundus,arvore,Terricola,NA,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Inga subnuda,25,Árvore,888,Inga subnuda,Fabaceae,Inga,subnuda,recalcitrant,zoochoric,27,17,"2,66","16,9",NA,10,Inga subnuda,sp_0195,18671,Inga subnuda Salzm. ex Benth.,NA,Fabaceae,species,accepted,Inga subnuda,NA,,Inga subnuda,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Marlierea excoriata,25,Árvore,1049,Marlierea excoriata,Myrtaceae,Marlierea,excoriata,recalcitrant,zoochoric,NA,NA,"9,85","9,7",NA,13,Marlierea excoriata,sp_0196,10590,Marlierea excoriata Mart.,NA,Myrtaceae,species,accepted,Marlierea excoriata,NA,,Marlierea excoriata,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Trichilia pallida,25,Árvore,1905,Trichilia pallida,Meliaceae,Trichilia,pallida,recalcitrant,zoochoric,"6,5","8,6",6,7,"0,725",25,Trichilia pallida,sp_0201,10011,Trichilia pallida Sw.,NA,Meliaceae,species,accepted,Trichilia pallida,NA,,Trichilia pallida,arvore,Terricola,murici/PORTUGUES/Acre,BR-AC|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SP,native,1,0,0,0,0,1,0,0
Miconia prasina,24,Arbusto|Árvore,1149,Miconia prasina,Melastomataceae,Miconia,prasina,orthodox,zoochoric,"3,4","3,2","0,61","0,6","0,71",10,Miconia prasina,sp_0215,9750,Miconia prasina (Sw.) DC.,NA,Melastomataceae,species,accepted,Miconia prasina,NA,,Miconia prasina,Arbusto|arvore,Terricola,NA,BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Erythroxylum citrifolium,24,Arbusto|Árvore,554,Erythroxylum citrifolium,Erythroxylaceae,Erythroxylum,citrifolium,recalcitrant,zoochoric,"3,7",8,NA,NA,"0,71",8,Erythroxylum citrifolium,sp_0212,7689,Erythroxylum citrifolium A.St.-Hil.,NA,Erythroxylaceae,species,accepted,Erythroxylum citrifolium,NA,,Erythroxylum citrifolium,Arbusto|arvore,Terricola,cocarana-do-cerrado/PORTUGUES/Norte | cumixi¡/PORTUGUES/Nordeste | guarda-orvalho/PORTUGUES/Nordeste | pimentinha/PORTUGUES/Nordeste,BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-RJ|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Endlicheria paniculata,24,Arbusto|Árvore,525,Endlicheria paniculata,Lauraceae,Endlicheria,paniculata,recalcitrant,zoochoric,18,20,"12,5","18,7","0,631",20,Endlicheria paniculata,sp_0210,8417,Endlicheria paniculata (Spreng.) J.F.Macbr.,NA,Lauraceae,species,accepted,Endlicheria paniculata,NA,,Endlicheria paniculata,Arbusto|arvore,Terricola,"canela frade/PORTUGUES/sudeste | canela garuva/PORTUGUES/sul,  sudeste",BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Dictyoloma vandellianum,24,Árvore,495,Dictyoloma vandellianum,Rutaceae,Dictyoloma,vandellianum,NA,abiotic,22,15,5,7,NA,7,Dictyoloma vandellianum,sp_0208,542,Dictyoloma vandellianum A.Juss.,NA,Rutaceae,species,accepted,Dictyoloma vandellianum,NA,,Dictyoloma vandellianum,arvore,Terricola,ardente/PORTUGUES/SP | brauninha/PORTUGUES/MG | cetim-amargoso/PORTUGUES/SP | pau-de-urubu/PORTUGUES/BA | pau-vidro/PORTUGUES/MG | piolho-de-urubu/PORTUGUES/BA | sabugueiro-da-mata/PORTUGUES/RJ e SP,BR-AC|BR-BA|BR-ES|BR-MG|BR-RJ|BR-RO|BR-SP,native,1,0,0,0,0,1,0,0
Eremanthus incanus,24,Árvore,534,Eremanthus incanus,Asteraceae,Eremanthus,incanus,orthodox,abiotic,NA,NA,NA,NA,NA,10,Eremanthus incanus,sp_0211,5316,Eremanthus incanus (Less.) Less.,NA,Asteraceae,species,accepted,Eremanthus incanus,NA,,Eremanthus incanus,arvore,Terricola,NA,BR-BA|BR-MG,native,1,0,0,0,0,1,0,0
Tapirira obtusa,24,Árvore,1847,Tapirira obtusa,Anacardiaceae,Tapirira,obtusa,intermediate,zoochoric,19,12,"7,1","12,8","0,29",12,Tapirira obtusa,sp_0222,4409,Tapirira obtusa (Benth.) J.D.Mitch.,NA,Anacardiaceae,species,accepted,Tapirira obtusa,NA,,Tapirira obtusa,arvore,Terricola,pau-pombo/PORTUGUES/Acre | peito-de-pomba/PORTUGUES/sudeste,BR-AC|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-RJ|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Machaerium hirtum,24,Árvore,1009,Machaerium hirtum,Fabaceae,Machaerium,hirtum,orthodox,abiotic,17,63,8,12,"0,66",8,Machaerium hirtum,sp_0214,23059,Machaerium hirtum (Vell.) Stellfeld,NA,Fabaceae,species,accepted,Machaerium hirtum,NA,,Machaerium hirtum,arvore,Terricola,Jacarandi¡-bico-de-pato/PORTUGUES/NA | Jacarandi¡-de-espinho/PORTUGUES/NA,BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-SC|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
Alchornea triplinervia,23,Arbusto|Árvore,41,Alchornea triplinervia,Euphorbiaceae,Alchornea,triplinervia,orthodox,zoochoric,"4,7","5,8","4,1","5,8","0,49",30,Alchornea triplinervia,sp_0226,17458,Alchornea triplinervia (Spreng.) Mi¼ll.Arg.,NA,Euphorbiaceae,species,accepted,Alchornea triplinervia,NA,,Alchornea triplinervia,Arbusto|arvore,Terricola,"tapii¡, tapii¡-guai§u/PORTUGUES/sudeste | tinteiro/PORTUGUES/norte/AM",BR-AC|BR-AM|BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Albizia polycephala,23,Árvore,37,Albizia polycephala,Fabaceae,Albizia,polycephala,orthodox,abiotic,"14,5","34,88","6,89","9,2","0,6",13,Albizia polycephala,sp_0225,18067,Albizia polycephala (Benth.) Killip ex Record,NA,Fabaceae,species,accepted,Albizia polycephala,NA,,Albizia polycephala,arvore,Terricola,NA,BR-AL|BR-BA|BR-CE|BR-ES|BR-GO|BR-MG|BR-MS|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Vernonanthura divaricata,23,Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vernonanthura divaricata,sp_0242,27444,Vernonanthura divaricata (Spreng.) H.Rob.,NA,Asteraceae,species,accepted,Vernonanthura divaricata,NA,,Vernonanthura divaricata,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Lychnophora pinaster,23,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lychnophora pinaster,sp_0232,25236,Lychnophora pinaster Mart.,NA,Asteraceae,species,accepted,Lychnophora pinaster,NT,,Lychnophora pinaster,Arbusto|arvore,Terricola,NA,BR-MG,native,"0,5","0,5",0,0,0,1,0,0
Nectandra nitidula,23,Arbusto|Árvore,1319,Nectandra nitidula,Lauraceae,Nectandra,nitidula,recalcitrant,zoochoric,6,10,"4,5",10,"0,755",8,Nectandra nitidula,sp_0236,8433,Nectandra nitidula Nees,NA,Lauraceae,species,accepted,Nectandra nitidula,NA,,Nectandra nitidula,Arbusto|arvore,Terricola,canela amarela/PORTUGUES/sudeste,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Myrcia tomentosa,22,Árvore,1282,Myrcia tomentosa,Myrtaceae,Myrcia,tomentosa,recalcitrant,zoochoric,"4,2","4,3","4,3","4,5","0,82",7,Myrcia tomentosa,sp_0253,10772,Myrcia tomentosa (Aubl.) DC.,NA,Myrtaceae,species,accepted,Myrcia tomentosa,NA,,Myrcia tomentosa,arvore,Terricola,NA,BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-SE|BR-SP,native,1,0,0,0,0,1,0,0
Plathymenia reticulata,22,Árvore,1487,Plathymenia reticulata,Fabaceae,Plathymenia,reticulata,orthodox,abiotic,22,160,15,25,"0,55",12,Plathymenia reticulata,sp_0254,83636,Plathymenia reticulata Benth.,NA,Fabaceae,species,accepted,Plathymenia reticulata,LC,,Plathymenia reticulata,arvore,Terricola,NA,BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-PR|BR-RJ|BR-SP,native,1,0,0,0,0,1,0,0
Copaifera langsdorffii,22,Árvore,372,Copaifera langsdorffii,Fabaceae,Copaifera,langsdorffii,orthodox,zoochoric,"21,42","28,79",11,17,"0,75",15,Copaifera langsdorfii,sp_0477,22896,Copaifera langsdorffii Desf.,NA,Fabaceae,species,accepted,Copaifera langsdorffii,NA,was misspelled,Copaifera langsdorfii,arvore,Terricola,Copai­ba/PORTUGUES/NA | Pau-d'ioleo/PORTUGUES/NA,BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
