especies,registros BHRD,Hábito,ID,SpecieName,Family,Genus,Specific.Epiteth,Seed.type,Sind,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,scientificName,id_bhrd,id_flora,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vernacular.name,occurrence,establishment,arvore_life.form,Arbusto_life.form,LVT_life.form,Subarbusto_life.form,suculenta_life.form,Terricola_habitat,Rupicola_habitat,Hemiepifita_habitat
Solanum lycocarpum,21,Arbusto|Árvore,1733,Solanum lycocarpum,Solanaceae,Solanum,lycocarpum,orthodox,zoochoric,"86,1",115,5,6,"0,42",5,Solanum lycocarpum,sp_0291,14805,Solanum lycocarpum A.St.-Hil.,NA,Solanaceae,species,accepted,Solanum lycocarpum,NA,,Solanum lycocarpum,Arbusto|arvore,Terricola,Fruta-do-lobo/PORTUGUES/NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Handroanthus chrysotrichus,21,Árvore,785,Handroanthus chrysotrichus,Bignoniaceae,Handroanthus,chrysotrichus,orthodox,abiotic,"14,3",180,10,28,"0,93",10,Handroanthus chrysotrichus,sp_0276,114078,Handroanthus chrysotrichus (Mart. ex DC.) Mattos,NA,Bignoniaceae,species,accepted,Handroanthus chrysotrichus,NA,,Handroanthus chrysotrichus,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,1,0,0
Swartzia oblata,21,Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Swartzia oblata,sp_0294,101174,Swartzia oblata R.S.Cowan,NA,Fabaceae,species,accepted,Swartzia oblata,NA,,Swartzia oblata,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ,native,1,0,0,0,0,1,0,0
Endlicheria glomerata,21,Árvore,524,Endlicheria glomerata,Lauraceae,Endlicheria,glomerata,recalcitrant,zoochoric,15,"27,4","12,5",25,NA,8,Endlicheria glomerata,sp_0274,8416,Endlicheria glomerata Mez,NA,Lauraceae,species,accepted,Endlicheria glomerata,NA,,Endlicheria glomerata,arvore,Terricola,canelao/PORTUGUES/sudeste,BR-BA|BR-GO|BR-MG|BR-RJ|BR-TO,native,1,0,0,0,0,1,0,0
Eugenia florida,21,Arbusto|Árvore,614,Eugenia florida,Myrtaceae,Eugenia,florida,recalcitrant,zoochoric,12,10,"10,7",10,"0,87",9,Eugenia florida,sp_0275,10400,Eugenia florida DC.,NA,Myrtaceae,species,accepted,Eugenia florida,LC,,Eugenia florida,Arbusto|arvore,Terricola,NA,BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Solanum scuticum,21,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solanum scuticum,sp_0292,14857,Solanum scuticum M.Nee,NA,Solanaceae,species,accepted,Solanum scuticum,NA,,Solanum scuticum,Arbusto|arvore,Terricola,NA,BR-AC|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PR|BR-RJ|BR-RO|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Brosimum guianense,20,Arbusto|Árvore,181,Brosimum guianense,Moraceae,Brosimum,guianense,recalcitrant,zoochoric,19,"10,62","11,1","14,4","0,86",30,Brosimum guianense,sp_0301,10110,Brosimum guianense (Aubl.) Huber,NA,Moraceae,species,accepted,Brosimum guianense,NA,,Brosimum guianense,Arbusto|arvore,Terricola,inhari© mole/PORTUGUES/Acre | Pau-rainha-roxo/PORTUGUES/Amazonas,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,1,0,0
Ficus trigona,20,Árvore,722,Ficus trigona,Moraceae,Ficus,trigona,orthodox,zoochoric,7,8,"1,1","1,1","0,43",20,Ficus trigona,sp_0309,10151,Ficus trigona L.f.,NA,Moraceae,species,accepted,Ficus trigona,NA,,Ficus trigona,arvore,Terricola|Hemiepifita,apui­/PORTUGUES/Acre | apui­ amarelo/PORTUGUES/Acre | apui­ preto/PORTUGUES/Acre,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SC|BR-SP|BR-TO,native,1,0,0,0,0,"0,5",0,"0,5"
Blepharocalyx salicifolius,20,Arbusto|Árvore,171,Blepharocalyx salicifolius,Myrtaceae,Blepharocalyx,salicifolius,recalcitrant,zoochoric,6,"5,6","4,2",5,"0,735",20,Blepharocalyx salicifolius,sp_0300,10262,Blepharocalyx salicifolius (Kunth) O.Berg,NA,Myrtaceae,species,accepted,Blepharocalyx salicifolius,LC,,Blepharocalyx salicifolius,Arbusto|arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,1,0,0
Ocotea lancifolia,20,Árvore,1365,Ocotea lancifolia,Lauraceae,Ocotea,lancifolia,recalcitrant,zoochoric,"12,4",15,"10,6","12,7",NA,10,Ocotea lancifolia,sp_0318,8466,Ocotea lancifolia (Schott) Mez,NA,Lauraceae,species,accepted,Ocotea lancifolia,LC,,Ocotea lancifolia,arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO,native,1,0,0,0,0,1,0,0
